report_id,date,site,location,report_type,activity,description,sif_label,sif_potential,primary_lsr,lsr_tags,hazard,barrier_failure,equipment,potential_consequence,actual_consequence,precursor_tags,severity
REP-4F3DE4BC,2020-03-02,Site Alpha,Loading Bay,Unsafe Condition,Repair,"The tag for Compressor C-10 was faded during Repair. No Electrical shock was present, but tag needs replacement.",0,0.17,Energy Isolation,Energy Isolation,None,None,Compressor C-10,Minor injury,None,,Low
REP-75F7B357,2021-07-23,Facility Bravo,Loading Bay,Near Miss,Inspection,"The tag for Heat Exchanger HX-2 was faded during Inspection. No Steam leak was present, but tag needs replacement.",0,0.17,Energy Isolation,Energy Isolation,None,None,Heat Exchanger HX-2,Minor injury,None,,Low
REP-0E99F988,2021-01-28,Station Foxtrot,Deck 3,Unsafe Act,Process Operation,"While investigating Fire & Gas Panel, it was found that Safety valve isolated during Process Operation. This exposed the facility to Loss of containment.",1,0.86,Bypassing Safety Controls,Bypassing Safety Controls,Loss of containment,Safety valve isolated,Fire & Gas Panel,Major explosion,Property Damage,disabled safety device|bypassed interlock,High
REP-9461E09F,2023-10-04,Platform Charlie,Deck 3,Unsafe Condition,Crane Lifting,Paint on Forklift F-3 used for Crane Lifting is peeling off.,0,0.15,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Forklift F-3,Minor injury,None,,Low
REP-9F10DF91,2020-04-24,Facility Bravo,Pump Room,Near Miss,Tank Cleaning,"Worker doing Tank Cleaning in Reactor R-5 complained about poor lighting, though gas levels were normal.",0,0.34,Confined Space,Confined Space,None,None,Reactor R-5,Minor injury,None,,Low
REP-66C4609F,2023-02-23,Terminal Echo,Main Workshop,Incident,Painting,"Scaffolding tubes for Cherry Picker were stored untidily, causing a minor trip hazard during Painting.",0,0.06,Work at Height,Work at Height,None,None,Cherry Picker,Minor injury,None,,Low
REP-27DEEE7C,2023-10-25,Refinery Delta,Deck 3,Incident,System Maintenance,"Screen on Pressure Safety Valve PSV-90 was dirty, making it hard to read during System Maintenance.",0,0.07,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Pressure Safety Valve PSV-90,Minor injury,None,,Low
REP-A18D5215,2022-06-09,Facility Bravo,Control Room,Unsafe Act,Non-routine Task,JSA for Non-routine Task near Utility Area was printed on crumpled paper.,0,0.05,Work Authorization,Work Authorization,None,None,Utility Area,Minor injury,None,,Low
REP-DBEAB1E2,2023-05-11,Platform Charlie,Control Room,Unsafe Act,Forklift Operation,Operator of Mobile Crane during Forklift Operation forgot his safety glasses but was in an enclosed cab.,0,0.37,Safe Mechanical Lifting,Safe Mechanical Lifting,None,None,Mobile Crane,Minor injury,None,,Low
REP-E60A1B03,2023-09-13,Refinery Delta,Pipe Rack 2,Unsafe Condition,Torch Cutting,"During Torch Cutting with Angle Grinder, Fire watcher absent allowed slag to ignite a small fire. Fire potential was extremely high.",1,0.94,Hot Work,Hot Work,Fire,Fire watcher absent,Angle Grinder,Fatal burns,None,ignition source|sparks,Medium
REP-C9B7AF2B,2021-04-05,Site Alpha,Drilling Floor,Unsafe Act,Process Operation,Operator logged Process Operation for Pressure Safety Valve PSV-90 in the wrong logbook.,0,0.06,Bypassing Safety Controls,Bypassing Safety Controls,None,None,Pressure Safety Valve PSV-90,Minor injury,None,,Low
REP-A449CF35,2020-05-25,Terminal Echo,Loading Bay,Near Miss,Vessel Welding,The entry log for Separator V-10 during Vessel Welding was smudged with dirt.,0,0.35,Confined Space,Confined Space,None,None,Separator V-10,Minor injury,None,,Low
REP-7C89BA42,2021-12-26,Refinery Delta,Storage Tank A,Incident,Vessel Welding,The entry log for Separator V-10 during Vessel Welding was smudged with dirt.,0,0.27,Confined Space,Confined Space,None,None,Separator V-10,Minor injury,None,,Low
REP-49D38536,2021-07-24,Refinery Delta,Loading Bay,Unsafe Act,Maintenance,"Noticed Pump P-204 had a minor weep during Maintenance. LOTO was applied correctly, but cleanup was delayed.",0,0.17,Energy Isolation,Energy Isolation,None,None,Pump P-204,Minor injury,None,,Low
