description,sif_label,lsr_tags,report_id,date,site,location,report_type,activity,sif_potential,primary_lsr,hazard,barrier_failure,equipment,potential_consequence,actual_consequence,precursor_tags,severity,description_clean
"Started cracking open the pump discharge flange after closing the valve, but the line had not been proven dead. Fluid started weeping.",1,Energy Isolation,CHAL-08CCAC,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Energy Isolation,None,None,None,None,None,,Low,started cracking open the pump discharge flange after closing the valve but the line had not been proven dead. fluid started weeping.
Welder began work after the gas test validity period had expired.,1,Hot Work|Work Authorization,CHAL-966C23,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Hot Work,None,None,None,None,None,,Low,welder began work after the gas test validity period had expired.
Technician noticed the toe board was loose during inspection; nobody was working below and no object fell.,0,Work at Height,CHAL-7CCE46,2024-01-01,Challenge Site,Any,Observation,Various,0.0,Work at Height,None,None,None,None,None,,Low,technician noticed the toe board was loose during inspection nobody was working below and no object fell.
Found some rust on the side of the container.,0,None,CHAL-071061,2024-01-01,Challenge Site,Any,Observation,Various,0.0,None,None,None,None,None,None,,Low,found some rust on the side of the container.
Forklift moving in reverse nearly backed into a crew member. The reversing alarm was disabled.,1,Driving|Line of Fire,CHAL-68E86B,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Driving,None,None,None,None,None,,Low,forklift moving in reverse nearly backed into a crew member. the reversing alarm was disabled.
Worker walked under a suspended 10-ton load while the rigger was distracted.,1,Safe Mechanical Lifting|Line of Fire,CHAL-EFC100,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Safe Mechanical Lifting,None,None,None,None,None,,Low,worker walked under a suspended 10-ton load while the rigger was distracted.
Opened the hatch to the mud pit without sniffing for H2S. Alarms sounded immediately.,1,Confined Space,CHAL-C9BDF0,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Confined Space,None,None,None,None,None,,Low,opened the hatch to the mud pit without sniffing for hydrogen sulfide. alarms sounded immediately.
Bypassed the high level trip on the separator because it was acting up. Vessel almost overflowed.,1,Bypassing Safety Controls,CHAL-5D1F6B,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Bypassing Safety Controls,None,None,None,None,None,,Low,bypassed the high level trip on the separator because it was acting up. vessel almost overflowed.
Driving at 90kmh in a 40kmh zone during heavy rain.,1,Driving,CHAL-321869,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Driving,None,None,None,None,None,,Low,driving at 90kmh in a 40kmh zone during heavy rain.
"Crew began cutting the pipe spool, unaware that SIMOPS was occurring directly above them.",1,Work Authorization|Hot Work,CHAL-1CA7B4,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Work Authorization,None,None,None,None,None,,Low,crew began cutting the pipe spool unaware that simultaneous operations was occurring directly above them.
Noticed that the lightbulb in the corridor was flickering.,0,None,CHAL-507491,2024-01-01,Challenge Site,Any,Observation,Various,0.0,None,None,None,None,None,None,,Low,noticed that the lightbulb in the corridor was flickering.
IP tripped on an uneven floor mat in the office and twisted an ankle.,0,None,CHAL-C0E338,2024-01-01,Challenge Site,Any,Observation,Various,0.0,None,None,None,None,None,None,,Low,injured person tripped on an uneven floor mat in the office and twisted an ankle.
Contractor tried to enter the confined space before the attendant arrived. Stopped by site supervisor.,1,Confined Space,CHAL-7A71D8,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Confined Space,None,None,None,None,None,,Low,contractor tried to enter the confined space before the attendant arrived. stopped by site supervisor.
Removed the grating on deck 2 without putting up hard barricades.,1,Work at Height|Line of Fire,CHAL-4D5BA2,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Work at Height,None,None,None,None,None,,Low,removed the grating on deck 2 without putting up hard barricades.
"Hydraulic torque wrench pressure hose snapped. Worker was out of the line of fire, so nobody was struck.",0,Line of Fire,CHAL-069558,2024-01-01,Challenge Site,Any,Observation,Various,0.0,Line of Fire,None,None,None,None,None,,Low,hydraulic torque wrench pressure hose snapped. worker was out of the line of fire so nobody was struck.
"Hydraulic torque wrench pressure hose snapped. Worker was out of the line of fire, so nobody was struck.",1,Line of Fire,CHAL-D4F32D,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Line of Fire,None,None,None,None,None,,Low,hydraulic torque wrench pressure hose snapped. worker was out of the line of fire so nobody was struck.
Mechanic used a scaffold pole as a cheater bar on a wrench.,0,None,CHAL-FAF78D,2024-01-01,Challenge Site,Any,Observation,Various,0.0,None,None,None,None,None,None,,Low,mechanic used a scaffold pole as a cheater bar on a wrench.
LOTO padlock was found cut off and lying on the floor. Investigation ongoing.,1,Energy Isolation,CHAL-D1D122,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Energy Isolation,None,None,None,None,None,,Low,lockout tagout padlock was found cut off and lying on the floor. investigation ongoing.
Operator disabled the gas detector to avoid nuisance alarms during the turnaround.,1,Bypassing Safety Controls,CHAL-15BCB5,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Bypassing Safety Controls,None,None,None,None,None,,Low,operator disabled the gas detector to avoid nuisance alarms during the turnaround.
"Scaffold tag was red, but the painters climbed it anyway to finish the final coat.",1,Work at Height,CHAL-047E71,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Work at Height,None,None,None,None,None,,Low,scaffold tag was red but the painters climbed it anyway to finish the final coat.
No PTW found for the guys excavating near the live gas line.,1,Work Authorization,CHAL-F0106E,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Work Authorization,None,None,None,None,None,,Low,no permit to work found for the guys excavating near the live gas line.
Using an uncertified chain block to hoist the engine block.,1,Safe Mechanical Lifting,CHAL-4B2871,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Safe Mechanical Lifting,None,None,None,None,None,,Low,using an uncertified chain block to hoist the engine block.
The crane outriggers sank into the mud because mats were not used. Crane tilted dangerously.,1,Safe Mechanical Lifting,CHAL-C1D46E,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Safe Mechanical Lifting,None,None,None,None,None,,Low,the crane outriggers sank into the mud because mats were not used. crane tilted dangerously.
Driver was using his mobile phone and drifted into the oncoming lane.,1,Driving,CHAL-59CA7F,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Driving,None,None,None,None,None,,Low,driver was using his mobile phone and drifted into the oncoming lane.
Smelled gas in the analyzer shelter. The ventilation fan had failed.,1,Confined Space,CHAL-92FC60,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Confined Space,None,None,None,None,None,,Low,smelled gas in the analyzer shelter. the ventilation fan had failed.
"Dropped a hammer from the 4th deck. It landed near the walkway, missed people by a few feet.",1,Work at Height|Line of Fire,CHAL-248199,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Work at Height,None,None,None,None,None,,Low,dropped a hammer from the 4th deck. it landed near the walkway missed people by a few feet.
"Sparks from grinding fell onto an oily rag, starting a small fire. Extinguished quickly.",1,Hot Work,CHAL-6F37E6,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Hot Work,None,None,None,None,None,,Low,sparks from grinding fell onto an oily rag starting a small fire. extinguished quickly.
"Opened the bleeder valve, it was plugged with hydrate. Tried to clear it with wire.",1,Energy Isolation|Line of Fire,CHAL-77DE16,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Energy Isolation,None,None,None,None,None,,Low,opened the bleeder valve it was plugged with hydrate. tried to clear it with wire.
Minor scratch on the hand while turning a stiff valve.,0,None,CHAL-5C0119,2024-01-01,Challenge Site,Any,Observation,Various,0.0,None,None,None,None,None,None,,Low,minor scratch on the hand while turning a stiff valve.
Dust blew into IP's eye because safety glasses were resting on the helmet.,0,None,CHAL-A1E094,2024-01-01,Challenge Site,Any,Observation,Various,0.0,None,None,None,None,None,None,,Low,dust blew into injured person s eye because safety glasses were resting on the helmet.
Puddle of water in the locker room.,0,None,CHAL-62FEEB,2024-01-01,Challenge Site,Any,Observation,Various,0.0,None,None,None,None,None,None,,Low,puddle of water in the locker room.
Worker found sleeping in the control room during night shift.,0,None,CHAL-E5728F,2024-01-01,Challenge Site,Any,Observation,Various,0.0,None,None,None,None,None,None,,Low,worker found sleeping in the control room during night shift.
The label on the chemical drum was faded.,0,None,CHAL-CCCFBF,2024-01-01,Challenge Site,Any,Observation,Various,0.0,None,None,None,None,None,None,,Low,the label on the chemical drum was faded.
"Lanyard was frayed slightly, but still held weight during inspection. Discarded.",0,Work at Height,CHAL-C02264,2024-01-01,Challenge Site,Any,Observation,Various,0.0,Work at Height,None,None,None,None,None,,Low,lanyard was frayed slightly but still held weight during inspection. discarded.
Tension wire snapped while pulling the stuck pipe. Whip action struck the driller's console.,1,Line of Fire,CHAL-8FB978,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Line of Fire,None,None,None,None,None,,Low,tension wire snapped while pulling the stuck pipe. whip action struck the driller s console.
"Confined space entry permit was signed, but the gas tester had left the site.",1,Confined Space|Work Authorization,CHAL-0C850D,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Confined Space,None,None,None,None,None,,Low,confined space entry permit was signed but the gas tester had left the site.
Bypassed the ESD logic to keep the plant running during a sensor fault.,1,Bypassing Safety Controls,CHAL-656B1F,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Bypassing Safety Controls,None,None,None,None,None,,Low,bypassed the esd logic to keep the plant running during a sensor fault.
Driver didn't wear a seatbelt while moving the truck in the yard.,1,Driving,CHAL-E0CA93,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Driving,None,None,None,None,None,,Low,driver didn t wear a seatbelt while moving the truck in the yard.
Hot work was happening on the grating right above the open hydrocarbon drain.,1,Hot Work,CHAL-0E26BC,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Hot Work,None,None,None,None,None,,Low,hot work was happening on the grating right above the open hydrocarbon drain.
Started the compressor while the mechanic was still bolting the guard back on.,1,Energy Isolation,CHAL-6303F2,2024-01-01,Challenge Site,Any,Observation,Various,0.9,Energy Isolation,None,None,None,None,None,,Low,started the compressor while the mechanic was still bolting the guard back on.
