report_id,date,site,location,report_type,description,activity,predicted_activity,predicted_equipment,predicted_hazards,predicted_barrier_failures,predicted_precursor_tags,predicted_potential_consequences,sif_prediction,sif_probability,predicted_lsr,primary_lsr_predicted,sif_label,primary_lsr,lsr_tags,hazard,barrier_failure,potential_consequence,precursor_tags,severity
REP-4F3DE4BC,2020-03-02,Site Alpha,Loading Bay,Unsafe Condition,"The tag for Compressor C-10 was faded during Repair. No Electrical shock was present, but tag needs replacement.",Repair,"[""Maintenance""]","[""Compressor C-10"", ""For Compressor""]",[],[],[],"[""Electrical Injury""]",0,0.1524,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-75F7B357,2021-07-23,Facility Bravo,Loading Bay,Near Miss,"The tag for Heat Exchanger HX-2 was faded during Inspection. No Steam leak was present, but tag needs replacement.",Inspection,"[""Maintenance""]","[""Heat Exchanger Hx-2"", ""For Heat Exchanger""]",[],[],[],[],0,0.0653,"[""Energy Isolation""]",Energy Isolation,0,Energy Isolation,Energy Isolation,,,Minor injury,,Low
REP-0E99F988,2021-01-28,Station Foxtrot,Deck 3,Unsafe Act,"While investigating Fire & Gas Panel, it was found that Safety valve isolated during Process Operation. This exposed the facility to Loss of containment.",Process Operation,"[""Operations""]","[""Valve Isolated"", ""Gas Panel"", ""Safety Valve""]","[""Loss of Containment""]","[""SAFETY_DEVICE_BYPASS""]","[""bypassed-interlock""]","[""Major Process Safety Event""]",1,0.9505,"[""Bypassing Safety Controls"", ""Energy Isolation""]",Bypassing Safety Controls,1,Bypassing Safety Controls,Bypassing Safety Controls,Loss of containment,Safety valve isolated,Major explosion,disabled safety device|bypassed interlock,High
REP-9461E09F,2023-10-04,Platform Charlie,Deck 3,Unsafe Condition,Paint on Forklift F-3 used for Crane Lifting is peeling off.,Crane Lifting,"[""Mechanical Lifting"", ""Painting""]","[""Crane Lifting"", ""For Crane"", ""Forklift""]",[],[],[],[],0,0.0145,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-9F10DF91,2020-04-24,Facility Bravo,Pump Room,Near Miss,"Worker doing Tank Cleaning in Reactor R-5 complained about poor lighting, though gas levels were normal.",Tank Cleaning,"[""Cleaning"", ""Confined Space Entry""]","[""Tank Cleaning"", ""Reactor R-5"", ""Doing Tank"", ""In Reactor""]",[],[],[],[],0,0.0818,"[""Confined Space""]",Confined Space,0,Confined Space,Confined Space,,,Minor injury,,Low
REP-66C4609F,2023-02-23,Terminal Echo,Main Workshop,Incident,"Scaffolding tubes for Cherry Picker were stored untidily, causing a minor trip hazard during Painting.",Painting,"[""Painting"", ""Working at Height""]","[""Cherry Picker""]",[],[],[],[],0,0.1121,"[""Work at Height""]",Work at Height,0,Work at Height,Work at Height,,,Minor injury,,Low
REP-27DEEE7C,2023-10-25,Refinery Delta,Deck 3,Incident,"Screen on Pressure Safety Valve PSV-90 was dirty, making it hard to read during System Maintenance.",System Maintenance,"[""Maintenance""]","[""Valve Psv-90"", ""System Maintenance"", ""Safety Valve"", ""During System""]",[],[],[],[],0,0.1147,"[""Bypassing Safety Controls""]",Bypassing Safety Controls,0,Bypassing Safety Controls,Bypassing Safety Controls,,,Minor injury,,Low
REP-A18D5215,2022-06-09,Facility Bravo,Control Room,Unsafe Act,JSA for Non-routine Task near Utility Area was printed on crumpled paper.,Non-routine Task,"[""Operations""]","[""Utility Area""]",[],[],[],[],0,0.0339,"[""Work Authorization""]",Work Authorization,0,Work Authorization,Work Authorization,,,Minor injury,,Low
REP-DBEAB1E2,2023-05-11,Platform Charlie,Control Room,Unsafe Act,Operator of Mobile Crane during Forklift Operation forgot his safety glasses but was in an enclosed cab.,Forklift Operation,"[""Mechanical Lifting""]","[""Crane During"", ""Mobile Crane"", ""Forklift""]",[],[],[],[],0,0.1729,"[""Safe Mechanical Lifting""]",Safe Mechanical Lifting,0,Safe Mechanical Lifting,Safe Mechanical Lifting,,,Minor injury,,Low
REP-E60A1B03,2023-09-13,Refinery Delta,Pipe Rack 2,Unsafe Condition,"During Torch Cutting with Angle Grinder, Fire watcher absent allowed slag to ignite a small fire. Fire potential was extremely high.",Torch Cutting,"[""Hot Work""]","[""Angle Grinder"", ""Torch""]","[""Fire/Explosion""]","[""COMMUNICATION_FAILURE""]","[""communication-failure""]","[""Explosion Injury"", ""Fire Injury"", ""Major Process Safety Event""]",1,0.9615,"[""Hot Work"", ""Line of Fire""]",Hot Work,1,Hot Work,Hot Work,Fire,Fire watcher absent,Fatal burns,ignition source|sparks,Medium
