report_id,date,site,location,report_type,description,sif_prediction,sif_probability,primary_lsr,predicted_activity,predicted_equipment,predicted_hazards,predicted_barrier_failures,predicted_potential_consequences,predicted_precursor_tags,predicted_lsr
REP-BF232095,2022-04-13,Station Foxtrot,Deck 3,Unsafe Condition,"Grinding was being performed. Safety pin removed allowed personnel to walk directly under Drill Pipe, posing a severe Whip from parted cable.",1,0.7509,Line of Fire,"[{""value"": ""Drilling"", ""evidence"": ""Drill"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Hot Work"", ""evidence"": ""Grinding"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Drill Pipe"", ""evidence"": ""Drill Pipe"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Stored Energy"", ""evidence"": ""Whip from parted cable"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],"[""stored-energy""]","[{""rule"": ""Line of Fire"", ""score"": 0.9034253591346328}, {""rule"": ""Hot Work"", ""score"": 0.35216553838568465}]"
REP-4F5A992B,2023-09-01,Terminal Echo,Deck 3,Near Miss,Operator of Mobile Crane during Forklift Operation forgot his safety glasses but was in an enclosed cab.,0,0.1729,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Forklift Operation"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Crane during"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Forklift"", ""evidence"": ""Forklift"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.959534785133937}]"
REP-266E6FD0,2021-07-08,Refinery Delta,Pump Room,Unsafe Condition,A heavy skid was being moved during Hoisting. Overloaded crane led to a near miss involving Rigging failure near Overhead Gantry.,1,0.9503,Safe Mechanical Lifting,"[{""value"": ""Mechanical Lifting"", ""evidence"": ""Hoisting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""crane led"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Rigging"", ""evidence"": ""Rigging"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Suspended Load"", ""evidence"": ""Rigging failure"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""LIFTING_CONTROL_FAILURE"", ""evidence"": ""Overloaded crane"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Crushing Injury"", ""evidence"": ""Rigging failure"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}, {""value"": ""Struck-By Injury"", ""evidence"": ""Rigging failure"", ""confidence"": ""MEDIUM"", ""match_method"": ""synonym""}]","[""suspended-load""]","[{""rule"": ""Safe Mechanical Lifting"", ""score"": 0.9466551359718238}]"
REP-C1A933AD,2022-08-11,Refinery Delta,Pipe Rack 2,Incident,Welder doing Grinding with Oxy-Acetylene Torch had untucked coveralls.,0,0.0289,Hot Work,"[{""value"": ""Hot Work"", ""evidence"": ""Welder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Torch"", ""evidence"": ""Torch"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Hot Work"", ""score"": 0.9726577676455918}]"
REP-59008D73,2021-01-22,Refinery Delta,Drilling Floor,Unsafe Condition,The Forklift was slightly dirty during Material Delivery.,0,0.0407,Driving,"[{""value"": ""Vehicle Movement"", ""evidence"": ""Material Delivery"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Forklift"", ""evidence"": ""Forklift"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Driving"", ""score"": 0.8313682783184647}, {""rule"": ""Safe Mechanical Lifting"", ""score"": 0.5184504452207858}]"
REP-04F09CA1,2022-04-21,Site Alpha,Loading Bay,Unsafe Act,"During Painting, worker used the correct harness but the inspection log was not filled in for Roof Access Ladder.",0,0.0839,Work at Height,"[{""value"": ""Maintenance"", ""evidence"": ""inspection"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Working at Height"", ""evidence"": ""Roof"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}, {""value"": ""Painting"", ""evidence"": ""Painting"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Ladder"", ""evidence"": ""Ladder"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Work at Height"", ""score"": 0.9669974056102263}, {""rule"": ""Safe Mechanical Lifting"", ""score"": 0.4037768901151955}]"
REP-58760BD0,2020-02-02,Facility Bravo,Storage Tank A,Unsafe Condition,The welding lead for Welding Machine W-1 was slightly tangled during Torch Cutting.,0,0.16,Hot Work,"[{""value"": ""Hot Work"", ""evidence"": ""welding"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Welding Machine"", ""evidence"": ""Welding Machine"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}, {""value"": ""Torch"", ""evidence"": ""Torch"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Hot Work"", ""score"": 0.9806216114900689}]"
REP-81011020,2022-10-04,Site Alpha,Storage Tank A,Unsafe Condition,Barricade tape for Grinding near Winch W-2 was blown down by the wind. No operations were ongoing.,0,0.1711,Line of Fire,"[{""value"": ""Hot Work"", ""evidence"": ""Grinding"", ""confidence"": ""MEDIUM"", ""match_method"": ""regex""}]","[{""value"": ""Crane"", ""evidence"": ""Winch W-2"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Line of Fire"", ""score"": 0.9510676191729811}]"
REP-0792A514,2021-05-09,Station Foxtrot,Storage Tank A,Incident,"Prior to Internal Inspection in Underground Sump, it was discovered that Ventilation failed. This could have led to Engulfment and potential fatality.",1,0.9599,Confined Space,"[{""value"": ""Maintenance"", ""evidence"": ""Inspection"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Vessel"", ""evidence"": ""Sump"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Confined Atmosphere"", ""evidence"": ""Engulfment"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[{""value"": ""Fatal Exposure"", ""evidence"": ""fatality"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],"[{""rule"": ""Confined Space"", ""score"": 0.9570191211462633}, {""rule"": ""Bypassing Safety Controls"", ""score"": 0.41672458691455583}]"
REP-9E01A05D,2023-05-20,Refinery Delta,Loading Bay,Unsafe Act,Radio in Forklift was left on high volume after Heavy Haulage.,0,0.0884,Driving,"[{""value"": ""Vehicle Movement"", ""evidence"": ""Heavy Haulage"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]","[{""value"": ""Forklift"", ""evidence"": ""Forklift"", ""confidence"": ""HIGH"", ""match_method"": ""regex""}]",[],[],[],[],"[{""rule"": ""Driving"", ""score"": 0.9506140194771527}, {""rule"": ""Safe Mechanical Lifting"", ""score"": 0.38087512234730564}]"
